sample,repeat_class,repeat_family,count,total_length,mean_length,mean_div
T2T01,DNA,hAT-Blackjack,32517,4733818,145.579789033429,22.2652643232771
T2T01,DNA,hAT-Charlie,506375,91879776,181.446114045915,23.0517187854851
T2T01,DNA,hAT-Tag1,3990,881888,221.024561403509,25.9144110275689
T2T01,DNA,hAT-Tip100,126275,24391745,193.163690358345,25.3027099584241
T2T01,DNA,hAT-hAT19,32,2994,93.5625,21.921875
T2T01,LINE,CR1,121375,21240087,174.995567456231,30.0061964984552
T2T01,LINE,Dong-R4,954,208330,218.375262054507,28.7462264150943
T2T01,LINE,I-Jockey,239,28860,120.753138075314,26.7995815899582
T2T01,LINE,L1,1901387,1019789290,536.33967729873,19.4072318786233
T2T01,LINE,L1-Tx1,342,94993,277.75730994152,28.2535087719298
T2T01,LINE,L2,971366,204710105,210.744564870502,29.5140372423988
T2T01,LINE,RTE-BovB,10690,1691449,158.227221702526,31.0521702525725
T2T01,LINE,RTE-X,25414,5819506,228.988195482805,28.4478161643189
T2T01,LTR,DIRS,13334,914810,68.6073196340183,24.5698215089246
T2T01,LTR,ERV1,355761,166590732,468.265863880527,15.7600490216747
T2T01,LTR,ERVK,20627,17214219,834.547874145537,8.60407718039463
T2T01,LTR,ERVL,320714,116349310,362.782136108807,23.1527354590071
T2T01,LTR,ERVL-MaLR,682805,219347769,321.245112440594,20.2785026471687
T2T01,LTR,Gypsy,41049,8663654,211.056396014519,27.9052717483983
T2T01,LTR,Unknown,27810,5811517,208.972204243078,27.0971521035599
T2T01,Low_complexity,Unknown,210509,15800460,75.0583585499907,19.4559691034588
T2T01,PLE,Unknown,1407,125724,89.3560767590618,23.5647476901208
T2T01,RC,Helitron,4150,864673,208.354939759036,27.0611084337349
T2T01,Retroposon,SVA,85442,17724949,207.45007139346,23.6927166967065
T2T01,SINE,5S-Deu-L2,3923,427292,108.919704307928,27.5415753250064
T2T01,SINE,Alu,2395225,621444756,259.45151541087,13.007669592627
T2T01,SINE,MIR,1129662,160509200,142.086039895119,28.271002388325
T2T01,SINE,tRNA,3120,393466,126.110897435897,29.5104807692308
T2T01,SINE,tRNA-Deu,831,90672,109.111913357401,27.912274368231
T2T01,SINE,tRNA-Deu-L2,12,690,57.5,22.0833333333333
T2T01,SINE,tRNA-RTE,8370,1073810,128.292712066906,31.0287216248507
T2T01,Satellite,Unknown,53946,105696509,1959.30206132058,14.544978311645
T2T01,Satellite,acro,1244,1196001,961.415594855305,16.7102090032154
T2T01,Satellite,centr,4557,172818195,37923.676761027,16.482159315339
T2T01,Satellite,subtelo,358,284179,793.796089385475,10.5558659217877
T2T01,Simple_repeat,Unknown,1408064,126179156,89.6118045770647,10.766867912254
T2T01,Unknown,Unknown,80716,13160708,163.049556469597,18.4672097229793
