metric	value	haplotype	asm_method	asm_name	source
Number of mapped sequences	2720	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of primary alignments	30746	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of secondary alignments	58503	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of bases in mapped sequences	6252796519	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of mapped bases	6200552897	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of substitutions	8610487	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of insertions in [0,50)	784475	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of insertions in [50,100)	7927	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of insertions in [100,300)	7845	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of insertions in [300,400)	4285	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of insertions in [400,1000)	4203	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of insertions in [1000,inf)	5621	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of deletions in [0,50)	932680	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of deletions in [50,100)	7799	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of deletions in [100,300)	7180	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of deletions in [300,400)	4333	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of deletions in [400,1000)	5580	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of deletions in [1000,inf)	5462	NA	unphased_verkko	TUE_02_05UL_02DX	stat
Number of mapped sequences	3395	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of primary alignments	34346	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of secondary alignments	76144	NA	unphased_verkko	TUE_02_06UL_02DX	stat
