n_UL	n_DX	sample	asm_name	metric	value	haplotype	asm_method	source	chromosome
4	0	TUE_02	TUE_02_04UL	singletons	0	both	phased_verkko	whatshap_stats	ALL
4	0	TUE_02	TUE_02_04UL	Phase Blocks	23	both	phased_verkko	whatshap_stats	ALL
4	0	TUE_02	TUE_02_04UL	Quality Value	57.0307	assembly	unphased_verkko	merqury	NA
4	0	TUE_02	TUE_02_04UL	Error Rate	1.98122e-6	assembly	unphased_verkko	merqury	NA
4	0	TUE_02	TUE_02_04UL	Quality Value	64.5587	haplotype1	phased_verkko	merqury	NA
4	0	TUE_02	TUE_02_04UL	Error Rate	3.50049e-7	haplotype1	phased_verkko	merqury	NA
4	0	TUE_02	TUE_02_04UL	Quality Value	61.5699	haplotype2	phased_verkko	merqury	NA
4	0	TUE_02	TUE_02_04UL	Error Rate	6.96642e-7	haplotype2	phased_verkko	merqury	NA
4	0	TUE_02	TUE_02_04UL	Quality Value	62.7886	both	phased_verkko	merqury	NA
4	0	TUE_02	TUE_02_04UL	Error Rate	5.2619e-7	both	phased_verkko	merqury	NA
4	0	TUE_02	TUE_02_04UL	Number of T2T chromosomes	1	both	unphased_verkko	t2t_alignment	NA
4	0	TUE_02	TUE_02_04UL	Number of T2T chromosomes	37	both	phased_verkko	t2t_alignment	NA
4	0	TUE_02	TUE_02_04UL	Number of T2T chromosomes	19	haplotype1	phased_verkko	t2t_alignment	NA
4	0	TUE_02	TUE_02_04UL	Number of T2T chromosomes	18	haplotype2	phased_verkko	t2t_alignment	NA
4	0	TUE_02	TUE_02_04UL	Number of Y Chromosomes	1	both	unphased_verkko	sex_determination	NA
4	0	TUE_02	TUE_02_04UL	Number of Y Chromosomes	1	both	phased_verkko	sex_determination	NA
5	0	TUE_02	TUE_02_05UL	Assembly Length	6095322729	both	unphased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Ref covered by Assembly	0.9619	both	unphased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Ref duplicated in Assembly	0.9175	both	unphased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Assembly covered by Ref	0.9704	both	unphased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NG75	30000473	both	unphased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NG50	38005352	both	unphased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NGA50	5528873	both	unphased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Average Ungapped Alignment length	6395976	both	unphased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Number of Breaks in Assembly	26032	both	unphased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Assembly Length	6024566019	both	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Ref covered by Assembly	0.9613	both	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Ref duplicated in Assembly	0.9188	both	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Assembly covered by Ref	0.9696	both	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NG75	172014445	both	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NG50	192036560	both	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NGA50	6400645	both	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Average Ungapped Alignment length	7217755	both	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Number of Breaks in Assembly	25785	both	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Assembly Length	2932576457	haplotype1	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Ref covered by Assembly	0.9009	haplotype1	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Ref duplicated in Assembly	0.00939999999999999	haplotype1	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Assembly covered by Ref	0.9668	haplotype1	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NG75	101229970	haplotype1	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NG50	138977663	haplotype1	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NGA50	3442762	haplotype1	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Average Ungapped Alignment length	4367082	haplotype1	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Number of Breaks in Assembly	12778	haplotype1	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Assembly Length	3023845526	haplotype2	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Ref covered by Assembly	0.9357	haplotype2	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Ref duplicated in Assembly	0.0081	haplotype2	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	% of Assembly covered by Ref	0.9725	haplotype2	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NG75	106219300	haplotype2	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NG50	145735139	haplotype2	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	NGA50	3415384	haplotype2	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Average Ungapped Alignment length	4326744	haplotype2	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Number of Breaks in Assembly	12299	haplotype2	phased_verkko	asmstat	NA
5	0	TUE_02	TUE_02_05UL	Variants	5090563	both	phased_verkko	whatshap_stats	ALL
5	0	TUE_02	TUE_02_05UL	Variants Phased	3527565	both	phased_verkko	whatshap_stats	ALL
5	0	TUE_02	TUE_02_05UL	Variants Unphased	39266	both	phased_verkko	whatshap_stats	ALL
5	0	TUE_02	TUE_02_05UL	singletons	0	both	phased_verkko	whatshap_stats	ALL
