metric	value	haplotype	asm_method	asm_name	source	chromosome
length	6020670442	both	phased_verkko	T2T19	asmstat	NA
ref_covered	0.9574	both	phased_verkko	T2T19	asmstat	NA
asm_covered	0.9672	both	phased_verkko	T2T19	asmstat	NA
length	2939597610	haplotype1	phased_verkko	T2T_HG002	asmstat	NA
ref_covered	0.9069	haplotype1	phased_verkko	T2T_HG002	asmstat	NA
asm_covered	0.9701	haplotype1	phased_verkko	T2T_HG002	asmstat	NA
length	3036058087	haplotype2	phased_verkko	T2T_HG002	asmstat	NA
ref_covered	0.9408	haplotype2	phased_verkko	T2T_HG002	asmstat	NA
asm_covered	0.973	haplotype2	phased_verkko	T2T_HG002	asmstat	NA
length	6049466449	both	phased_verkko	T2T_HG002	asmstat	NA
ref_covered	0.9713	both	phased_verkko	T2T_HG002	asmstat	NA
asm_covered	0.9714	both	phased_verkko	T2T_HG002	asmstat	NA
inter-chromosomal_misjoins	2	haplotype1	phased_verkko	T2T00	misjoin	NA
intra-chromosomal_gaps	9	haplotype1	phased_verkko	T2T00	misjoin	NA
candidate_inversions_in_the_middle	4	haplotype1	phased_verkko	T2T00	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype1	phased_verkko	T2T00	misjoin	NA
inter-chromosomal_misjoins	1	haplotype2	phased_verkko	T2T00	misjoin	NA
intra-chromosomal_gaps	8	haplotype2	phased_verkko	T2T00	misjoin	NA
candidate_inversions_in_the_middle	1	haplotype2	phased_verkko	T2T00	misjoin	NA
candidate_inversions_at_contig_ends	2	haplotype2	phased_verkko	T2T00	misjoin	NA
inter-chromosomal_misjoins	3	both	phased_verkko	T2T00	misjoin	NA
intra-chromosomal_gaps	17	both	phased_verkko	T2T00	misjoin	NA
candidate_inversions_in_the_middle	5	both	phased_verkko	T2T00	misjoin	NA
candidate_inversions_at_contig_ends	2	both	phased_verkko	T2T00	misjoin	NA
inter-chromosomal_misjoins	1	haplotype1	phased_verkko	T2T00_1	misjoin	NA
intra-chromosomal_gaps	9	haplotype1	phased_verkko	T2T00_1	misjoin	NA
candidate_inversions_in_the_middle	1	haplotype1	phased_verkko	T2T00_1	misjoin	NA
candidate_inversions_at_contig_ends	2	haplotype1	phased_verkko	T2T00_1	misjoin	NA
inter-chromosomal_misjoins	1	haplotype2	phased_verkko	T2T00_1	misjoin	NA
intra-chromosomal_gaps	11	haplotype2	phased_verkko	T2T00_1	misjoin	NA
candidate_inversions_in_the_middle	2	haplotype2	phased_verkko	T2T00_1	misjoin	NA
candidate_inversions_at_contig_ends	2	haplotype2	phased_verkko	T2T00_1	misjoin	NA
inter-chromosomal_misjoins	2	both	phased_verkko	T2T00_1	misjoin	NA
intra-chromosomal_gaps	20	both	phased_verkko	T2T00_1	misjoin	NA
candidate_inversions_in_the_middle	3	both	phased_verkko	T2T00_1	misjoin	NA
candidate_inversions_at_contig_ends	4	both	phased_verkko	T2T00_1	misjoin	NA
inter-chromosomal_misjoins	0	haplotype1	phased_verkko	T2T00_2	misjoin	NA
intra-chromosomal_gaps	7	haplotype1	phased_verkko	T2T00_2	misjoin	NA
candidate_inversions_in_the_middle	1	haplotype1	phased_verkko	T2T00_2	misjoin	NA
candidate_inversions_at_contig_ends	1	haplotype1	phased_verkko	T2T00_2	misjoin	NA
inter-chromosomal_misjoins	3	haplotype2	phased_verkko	T2T00_2	misjoin	NA
intra-chromosomal_gaps	7	haplotype2	phased_verkko	T2T00_2	misjoin	NA
candidate_inversions_in_the_middle	0	haplotype2	phased_verkko	T2T00_2	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype2	phased_verkko	T2T00_2	misjoin	NA
inter-chromosomal_misjoins	3	both	phased_verkko	T2T00_2	misjoin	NA
intra-chromosomal_gaps	14	both	phased_verkko	T2T00_2	misjoin	NA
candidate_inversions_in_the_middle	1	both	phased_verkko	T2T00_2	misjoin	NA
candidate_inversions_at_contig_ends	1	both	phased_verkko	T2T00_2	misjoin	NA
inter-chromosomal_misjoins	2	haplotype1	phased_verkko	T2T01	misjoin	NA
intra-chromosomal_gaps	8	haplotype1	phased_verkko	T2T01	misjoin	NA
candidate_inversions_in_the_middle	2	haplotype1	phased_verkko	T2T01	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype1	phased_verkko	T2T01	misjoin	NA
inter-chromosomal_misjoins	1	haplotype2	phased_verkko	T2T01	misjoin	NA
intra-chromosomal_gaps	8	haplotype2	phased_verkko	T2T01	misjoin	NA
candidate_inversions_in_the_middle	3	haplotype2	phased_verkko	T2T01	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype2	phased_verkko	T2T01	misjoin	NA
inter-chromosomal_misjoins	3	both	phased_verkko	T2T01	misjoin	NA
intra-chromosomal_gaps	16	both	phased_verkko	T2T01	misjoin	NA
candidate_inversions_in_the_middle	5	both	phased_verkko	T2T01	misjoin	NA
candidate_inversions_at_contig_ends	0	both	phased_verkko	T2T01	misjoin	NA
inter-chromosomal_misjoins	0	haplotype1	phased_verkko	T2T02	misjoin	NA
intra-chromosomal_gaps	10	haplotype1	phased_verkko	T2T02	misjoin	NA
candidate_inversions_in_the_middle	4	haplotype1	phased_verkko	T2T02	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype1	phased_verkko	T2T02	misjoin	NA
inter-chromosomal_misjoins	1	haplotype2	phased_verkko	T2T02	misjoin	NA
intra-chromosomal_gaps	9	haplotype2	phased_verkko	T2T02	misjoin	NA
candidate_inversions_in_the_middle	1	haplotype2	phased_verkko	T2T02	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype2	phased_verkko	T2T02	misjoin	NA
inter-chromosomal_misjoins	1	both	phased_verkko	T2T02	misjoin	NA
intra-chromosomal_gaps	19	both	phased_verkko	T2T02	misjoin	NA
candidate_inversions_in_the_middle	5	both	phased_verkko	T2T02	misjoin	NA
candidate_inversions_at_contig_ends	0	both	phased_verkko	T2T02	misjoin	NA
inter-chromosomal_misjoins	3	haplotype1	phased_verkko	T2T03	misjoin	NA
intra-chromosomal_gaps	9	haplotype1	phased_verkko	T2T03	misjoin	NA
candidate_inversions_in_the_middle	1	haplotype1	phased_verkko	T2T03	misjoin	NA
candidate_inversions_at_contig_ends	2	haplotype1	phased_verkko	T2T03	misjoin	NA
inter-chromosomal_misjoins	1	haplotype2	phased_verkko	T2T03	misjoin	NA
intra-chromosomal_gaps	11	haplotype2	phased_verkko	T2T03	misjoin	NA
candidate_inversions_in_the_middle	0	haplotype2	phased_verkko	T2T03	misjoin	NA
candidate_inversions_at_contig_ends	2	haplotype2	phased_verkko	T2T03	misjoin	NA
inter-chromosomal_misjoins	4	both	phased_verkko	T2T03	misjoin	NA
intra-chromosomal_gaps	20	both	phased_verkko	T2T03	misjoin	NA
candidate_inversions_in_the_middle	1	both	phased_verkko	T2T03	misjoin	NA
candidate_inversions_at_contig_ends	4	both	phased_verkko	T2T03	misjoin	NA
inter-chromosomal_misjoins	0	haplotype1	phased_verkko	T2T04	misjoin	NA
intra-chromosomal_gaps	7	haplotype1	phased_verkko	T2T04	misjoin	NA
candidate_inversions_in_the_middle	2	haplotype1	phased_verkko	T2T04	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype1	phased_verkko	T2T04	misjoin	NA
inter-chromosomal_misjoins	0	haplotype2	phased_verkko	T2T04	misjoin	NA
